TOUCHPOINT_DATETIME;RESPONSE_DATE;CHURNED_SINCE_FEEDBACK;CUSTOMERM_LEGS_ENUM;FIX_VOICE_PRODUCT_YN;FIX_BB_PRODUCT_YN;MOBILE_PRODUCT_YN;TV_PRODUCT_YN;RELATIONSHIP_NPS;CUSTOMER_AGE_CATEGOR_ENUM;OPEN_COMMENT_CMT
09.11.2023 03:11;13.11.2023 14:42;no;FIXED ONLY;Yes;Yes;No;Yes;8;55-64;"TV Box muss öfters resetet werden, da manche HD Programme plötzlich nicht mehr funktionieren; Bild bleibt auch öfters stecken oder die Sprache stimmt mit dem Bild nicht überein.
Nur als INfo: mein Internet ist ok, alle Geräte sind mit LAN verbunden; es hat vor der Erneuerung der Box perfekt funktioniert;"
09.11.2023 03:11;14.11.2023 10:33;no;MOBILE ONLY;No;No;Yes;No;0;;"Problem wurde nicht gelöst. 
Der Internetschutz ist weiterhin aktiv und ich kann meiner Arbeit somit nicht zur Gänze nachkommen, nachdem für mich wichtige Websites/URL weiterhin von Magenta/Saferinternet gesperrt werden."
09.11.2023 03:11;13.11.2023 16:30;no;FIXED ONLY;Yes;Yes;No;Yes;0;45-54;Es hätte nie eine Änderung der TV Box von Horizon geben sollen ich hätte nie zugestimmt wenn ich geahnt hätte wie katastrophal die neue Magenta Box funktioniert Dies war für mich auch nicht abzusehen
09.11.2023 03:11;10.11.2023 16:24;no;CONVERGED;No;Yes;Yes;No;7;55-64;Die TV-Box die hier anscheinend nicht abgefragt wird gibt den Ausschlag warum die Marke Magenta leidet!!!!!
09.11.2023 03:11;09.11.2023 18:15;no;MOBILE ONLY;No;No;Yes;No;7;45-54;"Tarifwechsel sollte für lange Bestandskunden (vor 2000) grundsätzlich kostenlos sein.
Es werden Tarifwechsel angeboten zb. Tarif Familie und dann müsste man für jede Nummer zahlen. Unseriös"
10.11.2023 01:11;14.11.2023 13:15;yes;FIXED ONLY;Yes;Yes;No;Yes;0;35-44;Die alte Box war super, jetzt hat man eine unausgereifte Box und einen Kundendienst der keine Ahnung hat was er sagen soll. Können ja nicht sagen die Box ist ein klumpat
10.11.2023 01:11;14.11.2023 21:16;no;MOBILE ONLY;No;No;Yes;No;7;55-64;Alles gut
10.11.2023 01:11;10.11.2023 18:50;no;CONVERGED;No;Yes;Yes;No;0;35-44;Mein Homenet hat ein halbes Jahr super funktioniert. Seit ein paar Wochen gibt es nur noch Probleme weil laut Auskunft von T-Mobile die Zelle überlastet ist.
10.11.2023 01:11;10.11.2023 13:58;no;FIXED ONLY;Yes;Yes;No;Yes;0;55-64;Kommentar s.o.
10.11.2023 01:11;10.11.2023 13:50;no;MOBILE ONLY;No;No;Yes;No;10;65-74;Hatte Vertrag ohne Roaming, sonst alles wirklich sehr gut
